date,quarter,department,day,team,targeted_productivity,smv,wip,over_time,incentive,idle_time,idle_men,no_of_style_change,no_of_workers,actual_productivity,discretized_actual_productivity
1/1/2015,Quarter1,sewing,Thursday,8,0.8,0.4502516453735965,0.04763140817650876,0.4682539682539683,0.02722222222222222,0.0,0,0,59.0,0.940725424,High
1/1/2015,Quarter1,finishing,Thursday,1,0.75,0.020131629887727445,0.0,0.0634920634920635,0.0,0.0,0,0,8.0,0.8865,High
1/1/2015,Quarter1,sewing,Thursday,11,0.8,0.16473093302361594,0.041574735020549425,0.2420634920634921,0.013888888888888888,0.0,0,0,30.5,0.800570492,Medium
1/1/2015,Quarter1,sewing,Thursday,12,0.8,0.16473093302361594,0.041574735020549425,0.2420634920634921,0.013888888888888888,0.0,0,0,30.5,0.800570492,Medium
1/1/2015,Quarter1,sewing,Thursday,6,0.8,0.44521873790166466,0.05031364914557646,0.126984126984127,0.013888888888888888,0.0,0,0,56.0,0.800381944,Medium
1/1/2015,Quarter1,sewing,Thursday,7,0.8,0.44521873790166466,0.04226692623837335,0.4444444444444445,0.010555555555555556,0.0,0,0,56.0,0.800125,Medium
1/1/2015,Quarter1,finishing,Thursday,2,0.75,0.020131629887727445,0.0,0.0634920634920635,0.0,0.0,0,0,8.0,0.755166667,Medium
1/1/2015,Quarter1,sewing,Thursday,3,0.75,0.4874177313201702,0.03409041747782825,0.4563492063492064,0.0125,0.0,0,0,57.5,0.753683478,Medium
1/1/2015,Quarter1,sewing,Thursday,2,0.75,0.32849399922570655,0.031408176508760544,0.39682539682539686,0.009444444444444445,0.0,0,0,55.0,0.753097531,Medium
1/1/2015,Quarter1,sewing,Thursday,1,0.75,0.4874177313201702,0.02915855505083279,0.4563492063492064,0.0125,0.0,0,0,57.5,0.750427826,Medium
1/1/2015,Quarter1,sewing,Thursday,9,0.7,0.4874177313201702,0.03742158771360588,0.4563492063492064,0.012222222222222223,0.0,0,0,57.5,0.721126957,Medium
1/1/2015,Quarter1,sewing,Thursday,10,0.75,0.3176538908246225,0.02470257408609128,0.4285714285714286,0.0125,0.0,0,0,54.0,0.712205247,Medium
1/1/2015,Quarter1,sewing,Thursday,5,0.8,0.16473093302361594,0.028596149686350852,0.2420634920634921,0.013888888888888888,0.0,0,0,30.5,0.707045902,Medium
1/1/2015,Quarter1,finishing,Thursday,10,0.65,0.020131629887727445,0.0,0.0634920634920635,0.0,0.0,0,0,8.0,0.705916667,Medium
1/1/2015,Quarter1,finishing,Thursday,8,0.75,0.0,0.0,0.0634920634920635,0.0,0.0,0,0,8.0,0.676666667,Medium
1/1/2015,Quarter1,finishing,Thursday,4,0.75,0.020131629887727445,0.0,0.14285714285714288,0.0,0.0,0,0,18.0,0.593055556,Medium
1/1/2015,Quarter1,finishing,Thursday,7,0.8,0.0,0.0,0.0634920634920635,0.0,0.0,0,0,8.0,0.540729167,Medium
1/1/2015,Quarter1,sewing,Thursday,4,0.65,0.4024390243902439,0.036945706251351934,0.4761904761904762,0.0,0.0,0,0,60.0,0.52118,Low
